ORIGIN_AIRPORT,DESTINATION_AIRPORT,num_voli,mean_scheduled_time
CDG,SFO,1,623.0
CDV,ANC,326,44.938650306748464
CDV,YAK,327,46.29051987767584
CEC,SFO,176,98.82954545454545
CHA,ATL,2693,53.23579650946899
CHA,DFW,620,137.98870967741937
CHA,DTW,469,107.52025586353945
CHA,ORD,369,112.3360433604336
CHO,ATL,925,99.11243243243243
CHO,LGA,370,77.08108108108108
CHO,ORD,846,122.71394799054373
CHS,ATL,3184,78.01790201005025
CHS,BNA,345,89.8695652173913
CHS,BOS,336,128.35714285714286
CHS,BWI,1010,93.39603960396039
CHS,CLT,195,67.34358974358975
CHS,DAL,132,179.0909090909091
CHS,DCA,640,83.209375
CHS,DFW,241,192.08713692946057
CHS,DTW,282,131.43971631205673
CHS,EWR,1227,120.35452322738386
CHS,HOU,338,163.34319526627218
CHS,IAH,574,166.8170731707317
CHS,JFK,1187,118.9469250210615
